IND,0,1,2,3,4
E-099408-9,1e-05,1e-05,1e-05,0.99996,1e-05
E-133959-9,1e-05,1e-05,1e-05,0.99996,1e-05
E-155766-2,1e-05,1e-05,1e-05,0.990906,0.009064
F-010040-4,1e-05,1e-05,1e-05,0.99996,1e-05
F-019399-6,1e-05,1e-05,1e-05,0.99996,1e-05
F-128947-1,1e-05,1e-05,1e-05,0.99996,1e-05
G-068684-2,1e-05,1e-05,1e-05,0.99996,1e-05
G-074768-6,1e-05,1e-05,1e-05,0.99996,1e-05
G-143888-8,1e-05,1e-05,1e-05,0.99996,1e-05
G-146948-7,1e-05,1e-05,1e-05,0.99996,1e-05
H-018699-1,1e-05,1e-05,1e-05,0.99996,1e-05
H-065967-5,1e-05,1e-05,1e-05,0.99996,1e-05
H-069954-8,1e-05,1e-05,1e-05,0.99996,1e-05
