Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry
HG00410	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00419	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00421	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00422	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00428	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00436	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00437	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00442	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00443	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00445	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00446	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00448	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00449	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00451	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00452	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00457	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00458	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00463	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00464	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00472	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00473	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00475	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
HG00476	CHS	Southern Han Chinese	EAS	East Asian	1kG	25.9	118.3	Hu Nan and Fu Jian Provinces				1
